timestamp,analysis_type,chain_name,url,score,locations,urgency,project_value,expected_value,close_probability,age_gate,health_warnings,license_display,provinces,ecommerce_risk,priority
2025-08-17T08:17:36.191744,CHAIN,Canna Cabana,https://cannacabana.com,100,90,LOW,3000.0,2400.0,0.2,False,False,False,"AB, ON, BC",,1
2025-08-17T08:17:36.191811,CHAIN,Value Buds,https://valuebuds.com,88,68,LOW,3000.0,2400.0,0.2,False,False,False,"AB, BC",,1
2025-08-17T08:17:36.191846,CHAIN,PlantLife Cannabis,https://plantlifecannabis.com,100,39,LOW,2600.0,2080.0,0.2,False,False,False,AB,,2
2025-08-17T08:17:36.191871,CHAIN,Fire & Flower,https://fireandflower.com,100,27,LOW,2600.0,2080.0,0.2,False,False,False,"AB, ON, BC",,1
2025-08-17T08:17:36.191894,CHAIN,Spiritleaf,https://spiritleaf.ca,100,23,LOW,2600.0,2080.0,0.2,False,False,False,"AB, ON, BC",,1
2025-08-17T08:17:36.191915,CHAIN,The Hunny Pot,https://thehunnypot.com,53,15,CRITICAL,2000.0,6400.0,0.8,False,False,False,ON,,2
2025-08-17T08:17:36.191936,CHAIN,Nova Cannabis,https://novacannabis.ca,62,10,HIGH,2000.0,4800.0,0.6,False,False,False,AB,,3
2025-08-17T08:17:36.191956,ONLINE_RETAILER,,https://ocs.ca,100,1,UNKNOWN,0,0,0,False,False,False,,LOW,0
2025-08-17T08:17:36.191975,ONLINE_RETAILER,,https://bccannabisstores.com,100,1,UNKNOWN,0,0,0,False,False,False,,LOW,0
2025-08-17T08:17:36.191994,ONLINE_RETAILER,,https://albertacannabis.org,100,1,UNKNOWN,0,0,0,False,False,False,,LOW,0
2025-08-17T08:17:36.192012,ONLINE_RETAILER,,https://budderweeds.com,100,1,UNKNOWN,0,0,0,False,False,False,,LOW,0
2025-08-17T08:17:36.192029,ONLINE_RETAILER,,https://cannabisexpress.ca,89,1,UNKNOWN,0,0,0,False,False,False,,LOW,0
2025-08-17T08:17:36.192046,ONLINE_RETAILER,,https://greensociety.ca,100,1,UNKNOWN,0,0,0,False,False,False,,LOW,0
2025-08-17T08:17:36.192063,ONLINE_RETAILER,,https://chronicstore.ca,29,1,UNKNOWN,0,0,0,False,False,False,,HIGH,0
